roadside_station,ID,名称,通称,英語表記,画像,概要,状態,住所,lat,long,国,地方,都道府県,都道府県コード,市区町村,市区町村コード,登録路線,指定,指定年,指定月,指定日,Wikipedia,Wikidata,Wikidata2,Webサイト,Webサイト2,Webサイト3,Webサイト4,ATM,ベビーベッド,レストラン,軽食喫茶,宿泊施設,温泉施設,キャンプ場等,公園,展望台,美術館博物館,ガソリンスタンド,EV充電施設,無線LAN,シャワー,体験施設,観光案内,身障者トイレ,ショップ,みなとオアシス
https://it-social.net/roadside_station/?01001,01001,道の駅三笠,サンファーム三笠|三笠,Roadside station Mikasa,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Mikasa.jpg,北海道三笠市にある国道12号の道の駅,営業中,北海道三笠市岡山1056-1,43.2466006,141.8045499,日本,北海道地方,北海道,01,三笠市,01222,国道12号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅三笠,Q11641109,https://www.wikidata.org/wiki/Q11641109,https://www.michi-no-eki.jp/stations/view/1,http://www.hokkaido-michinoeki.jp/michinoeki/172/,http://www.city.mikasa.hokkaido.jp/hotnews/detail/00000036.html,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
https://it-social.net/roadside_station/?01002,01002,道の駅スタープラザ芦別,スタープラザ芦別,Roadside station Star plaza Ashibetsu,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Star_Plaza_Ashibetsu.jpg,北海道芦別市にある国道38号の道の駅,営業中,北海道芦別市北4条東1丁目1,43.5255178,142.1888941,日本,北海道地方,北海道,01,芦別市,01216,国道38号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅スタープラザ芦別,Q11641041,https://www.wikidata.org/wiki/Q11641041,https://www.michi-no-eki.jp/stations/view/2,http://www.hokkaido-michinoeki.jp/michinoeki/202/,https://go-to-ashibetsu.com/media/2017/03/16/26,,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
https://it-social.net/roadside_station/?01003,01003,道の駅南ふらの,南ふらの,Roadside station Minamifurano,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Minamifurano_Lavender_farm.jpg,北海道空知郡南富良野町にある国道38号の道の駅,営業中,北海道空知郡南富良野町字幾寅687-1,43.1697013,142.5727983,日本,北海道地方,北海道,01,空知郡南富良野町,01462,国道38号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅南ふらの,Q11641181,https://www.wikidata.org/wiki/Q11641181,https://www.michi-no-eki.jp/stations/view/3,http://www.hokkaido-michinoeki.jp/michinoeki/222/,http://www.town.minamifurano.hokkaido.jp/kousya/mitieki/M.F_mitieki.html,,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0
https://it-social.net/roadside_station/?01004,01004,道の駅しらぬか恋問,しらぬか恋問,Roadside station Shiranuka Koitoi,https://commons.wikimedia.org/wiki/Special:FilePath/Roadside_station_Shiranuka_Koitoi.jpg,北海道白糠郡白糠町にあ国道38号の道の駅,営業中,北海道白糠郡白糠町恋問3丁目3番地1,42.9927351,144.1981267,日本,北海道地方,北海道,01,白糠郡白糠町,01668,国道38号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅しらぬか恋問,Q11640781,https://www.wikidata.org/wiki/Q11640781,https://www.michi-no-eki.jp/stations/view/4,http://www.hokkaido-michinoeki.jp/michinoeki/263/,http://koitoi.com/,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
https://it-social.net/roadside_station/?01005,01005,道の駅びふか,びふか,Roadside station Bifuka,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Bifuka.jpg,北海道中川郡美深町にある国道40号の道の駅,営業中,北海道中川郡美深町字大手307-1,44.5588576,142.3200331,日本,北海道地方,北海道,01,中川郡美深町,01469,国道40号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅びふか,Q11640908,https://www.wikidata.org/wiki/Q11640908,https://www.michi-no-eki.jp/stations/view/5,http://www.hokkaido-michinoeki.jp/michinoeki/292/,http://www.bifuka-kankou.com/michinoeki.php,,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
https://it-social.net/roadside_station/?01006,01006,道の駅江差,江差,Roadside station Esashi,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Esashi.jpg,北海道檜山郡江差町にある国道227号の道の駅,営業中,北海道檜山郡江差町字尾山町1,41.8943424,140.1392891,日本,北海道地方,北海道,01,檜山郡江差町,01361,国道227号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅江差,Q11641362,https://www.wikidata.org/wiki/Q11641362,https://www.michi-no-eki.jp/stations/view/6,http://www.hokkaido-michinoeki.jp/michinoeki/321/,http://www.hokkaido-esashi.jp/modules/sightseeing/content0023.html,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
https://it-social.net/roadside_station/?01007,01007,道の駅望羊中山,望羊中山,Roadside station Boyo-nakayama,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Boyo_Nakayama.JPG,北海道虻田郡喜茂別町にある国道230号の道の駅,営業中,北海道虻田郡喜茂別町字川上345,42.8551768,141.0965891,日本,北海道地方,北海道,01,虻田郡喜茂別町,01398,国道230号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅望羊中山,Q11641324,https://www.wikidata.org/wiki/Q11641324,https://www.michi-no-eki.jp/stations/view/7,http://www.hokkaido-michinoeki.jp/michinoeki/364/,http://ageimo.com/,,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
https://it-social.net/roadside_station/?01008,01008,道の駅富士見,富士見|富士見|道の駅富士見|えんべつ富士見,Roadside station Enbetsu Fujimi,https://commons.wikimedia.org/wiki/Special:FilePath/Roadside_Station_Fujimi.jpg,北海道天塩郡遠別町にある国道232号の道の駅,営業中,北海道天塩郡遠別町字富士見46-21,44.7141204,141.7936472,日本,北海道地方,北海道,01,天塩郡遠別町,01486,国道232号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅富士見,Q11641263,https://www.wikidata.org/wiki/Q11641263,https://www.michi-no-eki.jp/stations/view/8,http://www.hokkaido-michinoeki.jp/michinoeki/389/,http://www.tongarikan.com/,,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0
https://it-social.net/roadside_station/?01009,01009,道の駅忠類,忠類,Roadside station Churui,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Churui.jpg,北海道中川郡幕別町にある国道236号の道の駅,営業中,北海道中川郡幕別町忠類白銀町384-12,42.5588618,143.2991945,日本,北海道地方,北海道,01,中川郡幕別町,01643,国道236号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅忠類,Q11641302,https://www.wikidata.org/wiki/Q11641302,https://www.michi-no-eki.jp/stations/view/9,http://www.hokkaido-michinoeki.jp/michinoeki/407/,,,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
https://it-social.net/roadside_station/?01010,01010,道の駅足寄湖,足寄湖,Roadside station Ashoroko,https://commons.wikimedia.org/wiki/Special:FilePath/Michinoeki_Ashoroko.jpg,北海道足寄郡足寄町にある国道241号の道の駅,廃止,北海道足寄郡足寄町中矢673-4,43.2522652,143.4806105,日本,北海道地方,北海道,01,足寄郡足寄町,01647,国道241号,1,1993,4,22,https://ja.wikipedia.org/wiki/道の駅足寄湖,Q11641516,https://www.wikidata.org/wiki/Q11641516,https://www.michi-no-eki.jp/stations/view/10,http://www.hokkaido-michinoeki.jp/michinoeki/426/,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
